J-S distance,KS test,Survival curves distance,Detection XGB,NNDR,K-map score,generator
0.0061912370486089776,0.9524184654167324,0.018957988193987814,0.9153225995697805,0.10519497726751278,1.0,HI-VAE_weibull
0.0053076377745834525,0.9573026626752796,0.007976147093444855,0.9091389088064664,0.10625181669797742,3.0,HI-VAE_weibull
0.006140366765926247,0.9563573341736252,0.016993285021160903,0.9208659148686525,0.126459794935411,6.0,HI-VAE_weibull
0.005161468763214746,0.9587206554277611,0.011204131824059046,0.9175255850335702,0.10708273819999735,3.0,HI-VAE_weibull
0.004973188477748142,0.9595084291791397,0.013418877857764902,0.9296882862916369,0.10802030649584887,2.0,HI-VAE_weibull
0.00559945176673877,0.9561997794233495,0.01531470724462972,0.9181668730851966,0.1553657551523785,6.0,HI-VAE_weibull
0.005839349274424529,0.9574602174255555,0.01198171610952266,0.9208904243530409,0.11154248741410397,4.0,HI-VAE_weibull
0.006504479729762808,0.9486371514101151,0.012466823896442497,0.9254459292093085,0.09535458143144793,2.0,HI-VAE_weibull
0.005879970386840133,0.9511580274145266,0.018545819722554424,0.9036808552245617,0.11322596082884434,3.0,HI-VAE_weibull
0.006263014789674106,0.9528911296675595,0.012853318807612894,0.9221411902744281,0.11422850064325538,1.0,HI-VAE_weibull
0.007037669888885641,0.9481644871592878,0.02283540257721031,0.9205067466266866,0.10960684675844856,3.0,HI-VAE_weibull
0.006177085399201473,0.9511580274145266,0.029091717046042586,0.92087321556613,0.1222453300399855,3.0,HI-VAE_weibull
0.005994898058416091,0.9547817866708681,0.01866946369801143,0.9286056971514242,0.13273451677978743,3.0,HI-VAE_weibull
0.005121291416062065,0.9524184654167321,0.009091626760826827,0.9259477217912784,0.0899952942041047,1.0,HI-VAE_weibull
0.006527963020561672,0.9484795966598392,0.012502397529348185,0.9208940747017798,0.10743534128823892,4.0,HI-VAE_weibull
0.0061600958709777396,0.9535213486686622,0.012097966321531454,0.9105916172348607,0.0949897760243966,4.0,HI-VAE_weibull
0.0056738320446326,0.9527335749172838,0.015527455176312589,0.9145179584120984,0.09625764320694574,1.0,HI-VAE_weibull
0.006312143140272054,0.9573026626752799,0.020541832413149327,0.9188912065706278,0.15637599733638344,3.0,HI-VAE_weibull
0.005565373051865232,0.9565148889239009,0.014162947132605295,0.9152705821002541,0.09970018706308643,4.0,HI-VAE_weibull
0.005422446088184776,0.9561997794233495,0.010971034098581748,0.9151673293787889,0.12313485181281336,3.0,HI-VAE_weibull
0.005946228100672768,0.9510004726642507,0.00837393465367697,0.9313834821719575,0.09602298667071532,4.0,HI-VAE_weibull
0.005590723205348136,0.9546242319205924,0.012358970222535688,0.9138436868522261,0.12125243009902827,1.0,HI-VAE_weibull
